Date	Close	Open	High	Low	Volume
2014-01-02	50.47	51.76	51.86	50.28	918
2014-01-03	50.37	50.67	50.67	49.98	798
2014-01-06	49.78	50.37	50.37	49.58	836
2014-01-07	49.98	49.88	50.18	49.68	734
2014-01-08	49.49	50.18	50.18	49.39	1321
2014-01-09	48.89	49.49	49.68	48.7	1131
2014-01-10	48.84	49.58	49.58	48.2	974
2014-01-13	49.39	48.4	49.88	48.3	1789
2014-01-14	48.99	49.39	49.39	48.6	843
2014-01-15	49.09	49.04	49.98	48.94	895
2014-01-16	48.89	49.09	49.24	48.7	449
2014-01-17	48.84	48.99	49.14	48.6	535
2014-01-20	49.14	48.84	49.14	48.84	371
2014-01-21	49.04	49.14	49.39	48.89	497
2014-01-22	48.75	48.84	48.99	48.6	734
2014-01-23	47.56	48.65	48.7	47.56	1566
2014-01-24	47.66	47.41	47.91	47.26	864
2014-01-27	47.46	47.51	47.76	46.92	1299
2014-02-05	47.41	47.36	47.61	46.97	1633
2014-02-06	47.41	47.41	47.86	47.41	1394
2014-02-07	48.55	47.81	49.04	47.46	1096
2014-02-10	49.34	48.99	49.58	48.89	754
2014-02-11	48.84	49.39	49.49	48.7	451
2014-02-12	48.79	48.65	49.39	48.45	552
2014-02-13	49.04	48.5	49.19	48.5	492
2014-02-14	49.39	48.99	49.78	48.79	1156
2014-02-17	50.37	49.88	50.37	49.58	939
2014-02-18	49.88	50.57	50.77	49.88	1028
2014-02-19	49.39	49.88	50.28	49.19	593
2014-02-20	49.34	49.19	49.39	48.99	234
2014-02-21	49.34	49.39	49.68	49.34	265
2014-02-24	48.89	49.34	49.49	48.89	244
2014-02-25	48.65	48.89	49.24	48.6	329
2014-02-26	48.4	48.65	48.84	48.4	1032
2014-02-27	48.35	48.4	48.79	48.35	414
2014-03-03	48.45	48.35	48.6	48.1	300
2014-03-04	48.25	48.75	48.75	48.2	183
2014-03-05	48.25	48.4	48.55	48.05	294
2014-03-06	47.86	48.1	48.15	47.71	882
2014-03-07	47.66	47.91	48.2	47.66	511
2014-03-10	47.41	47.66	47.81	47.41	824
2014-03-11	47.46	47.41	47.71	47.41	348
2014-03-12	47.41	47.41	47.71	47.36	230
2014-03-13	47.46	47.41	47.81	47.26	633
2014-03-14	47.51	47.41	47.86	47.21	662
2014-03-17	48.2	47.91	48.4	47.71	917
2014-03-18	48.0	48.6	48.6	47.66	726
2014-03-19	47.41	48.0	48.1	47.41	489
2014-03-20	46.92	47.31	47.41	46.67	645
2014-03-21	46.28	46.92	46.97	45.44	1052
2014-03-24	46.08	45.93	46.28	45.78	601
2014-03-25	46.03	46.08	46.33	46.03	683
2014-03-26	46.52	46.42	46.82	46.42	409
2014-03-27	46.42	46.52	46.97	46.18	411
2014-03-28	46.18	46.42	46.52	46.18	457
2014-03-31	45.34	46.08	46.08	44.99	1618
2014-04-01	45.24	45.44	45.44	45.14	618
2014-04-02	44.99	45.34	45.34	44.84	1596
2014-04-03	45.14	44.79	45.24	44.79	836
2014-04-07	44.55	45.04	45.04	44.4	1399
2014-04-08	44.55	44.55	44.6	44.4	1199
2014-04-09	44.55	44.55	44.65	44.45	1140
2014-04-10	44.6	44.55	44.94	44.55	993
2014-04-11	44.45	44.6	44.65	44.4	613
2014-04-14	44.45	44.45	44.74	44.3	716
2014-04-15	45.24	44.55	45.24	44.35	629
2014-04-16	45.24	45.24	45.34	44.84	679
2014-04-17	45.58	45.24	45.68	45.24	872
2014-04-18	45.63	45.78	45.78	45.44	625
2014-04-21	45.29	45.63	45.63	45.29	365
2014-04-22	44.7	44.94	45.19	44.6	913
2014-04-23	44.65	44.74	44.99	44.65	666
2014-04-24	44.5	44.7	44.89	44.5	831
2014-04-25	43.56	44.5	44.65	42.87	1033
2014-04-28	44.3	43.02	44.3	42.97	578
2014-04-29	44.45	45.14	45.29	44.3	1322
2014-04-30	44.3	44.55	44.6	44.2	822
2014-05-02	44.45	43.95	44.45	43.95	613
2014-05-05	44.4	44.45	44.45	44.25	772
2014-05-06	44.2	44.4	44.45	44.0	811
2014-05-07	44.4	44.45	44.5	44.1	988
2014-05-08	44.35	44.45	44.45	44.25	393
2014-05-09	44.15	44.15	44.45	44.15	157
2014-05-12	43.16	44.15	44.25	43.07	628
2014-05-13	42.23	43.26	43.76	42.23	955
2014-05-14	42.47	42.28	42.77	42.23	583
2014-05-15	41.98	42.47	42.67	41.88	505
2014-05-16	41.53	41.98	42.08	41.39	1256
2014-05-19	41.58	41.53	41.58	41.34	886
2014-05-20	41.68	41.78	41.78	41.29	940
2014-05-21	41.49	41.49	41.58	41.44	873
2014-05-22	42.13	41.53	42.32	41.53	626
2014-05-23	43.21	42.42	43.21	42.28	754
2014-05-26	44.25	43.26	44.65	43.26	1558
2014-05-27	44.35	44.25	44.6	43.71	1211
2014-05-28	44.45	44.4	44.65	44.35	1163
2014-05-29	44.25	44.45	44.55	44.1	997
2014-05-30	44.45	44.25	44.6	43.76	1021
2014-06-03	44.99	44.45	45.04	44.45	876
2014-06-04	45.93	44.99	45.93	44.55	1617
2014-06-05	45.04	45.93	46.08	44.94	1096
2014-06-06	44.35	45.04	45.04	44.1	1664
2014-06-09	43.76	44.35	44.45	43.71	926
2014-06-10	43.66	43.76	44.35	43.51	391
2014-06-11	44.3	43.51	44.3	43.51	570
2014-06-12	44.7	44.0	44.74	43.95	638
2014-06-13	44.55	44.45	44.7	44.45	750
2014-06-16	44.74	44.65	44.74	44.55	590
2014-06-17	44.55	44.55	44.84	44.5	498
2014-06-18	45.04	44.45	45.39	43.91	855
2014-06-19	44.55	45.04	45.04	44.45	491
2014-06-20	44.5	44.55	44.84	44.5	319
2014-06-23	44.15	44.35	44.65	44.05	419
2014-06-24	44.6	44.2	44.65	44.2	451
2014-06-25	44.45	44.15	44.65	44.15	263
2014-06-26	44.55	44.45	44.65	44.2	628
2014-06-27	44.45	44.65	44.94	44.45	350
2014-06-30	44.55	44.94	44.94	44.45	344
2014-07-01	44.3	44.55	44.79	44.15	605
2014-07-02	44.25	44.45	44.65	44.15	496
2014-07-03	44.5	44.45	44.6	44.25	687
2014-07-04	45.73	44.55	45.98	44.5	1553
2014-07-07	45.83	46.13	46.62	45.53	1823
2014-07-08	45.93	45.83	46.13	45.73	772
2014-07-09	45.93	45.63	46.03	45.34	1514
2014-07-10	46.97	45.93	47.21	45.83	1903
2014-07-11	47.66	46.92	47.81	46.57	2969
2014-07-14	49.39	47.91	49.58	47.46	4413
2014-07-15	48.05	49.39	49.49	47.56	2068
2014-07-16	47.02	47.66	48.0	46.23	1832
2014-07-17	47.91	47.02	47.91	46.33	837
2014-07-18	47.81	47.61	47.91	47.21	415
2014-07-21	48.35	47.81	48.94	47.51	2124
2014-07-22	47.6	48.6	48.7	47.55	1275
2014-07-24	48.0	48.0	48.3	47.65	883
2014-07-25	47.0	48.0	48.0	46.65	815
2014-07-28	47.2	47.05	47.65	46.5	768
2014-07-29	48.65	47.75	48.7	47.3	2043
2014-07-30	48.3	48.9	48.9	47.6	1766
2014-07-31	48.25	48.25	48.35	47.35	982
2014-08-01	47.3	46.0	47.8	46.0	296
2014-08-04	47.8	47.3	48.2	47.15	583
2014-08-05	46.5	48.2	48.2	46.3	1406
2014-08-06	45.6	46.55	46.75	45.0	989
2014-08-07	46.3	45.6	46.4	45.3	538
2014-08-08	46.35	45.65	46.35	45.65	690
2014-08-11	46.6	46.5	46.9	46.3	328
2014-08-12	46.7	46.6	47.25	46.4	492
2014-08-13	47.0	47.05	47.3	46.75	681
2014-08-14	45.3	47.3	47.4	45.3	533
2014-08-15	43.8	45.3	45.5	43.75	1460
2014-08-18	42.3	43.8	44.1	42.2	1559
2014-08-19	43.2	42.45	43.5	42.45	1034
2014-08-20	43.2	43.5	43.5	42.95	624
2014-08-21	43.85	43.3	43.85	43.05	369
2014-08-22	44.2	44.2	44.3	43.95	486
2014-08-25	44.1	44.3	44.3	43.8	293
2014-08-26	44.05	44.3	44.3	44.05	249
2014-08-27	44.5	44.05	44.55	44.05	480
2014-08-28	44.25	44.5	44.7	43.9	433
2014-08-29	44.0	44.25	44.3	43.75	497
2014-09-01	43.7	44.0	44.3	43.7	496
2014-09-02	43.25	43.75	43.75	43.1	554
2014-09-03	43.2	43.25	43.4	43.1	262
2014-09-04	43.4	43.3	43.75	43.3	344
2014-09-05	40.4	40.4	40.4	40.4	2082
2014-09-09	39.1	39.6	40.2	37.6	13746
2014-09-10	38.6	38.5	38.65	38.2	4983
2014-09-11	39.0	38.8	39.65	38.65	4454
2014-09-12	38.35	39.1	39.1	38.3	2487
2014-09-15	37.75	37.65	38.5	37.6	2165
2014-09-16	37.65	37.75	37.9	37.65	1529
2014-09-17	37.65	38.0	38.35	37.6	1765
2014-09-18	38.2	37.9	38.25	37.6	1166
2014-09-19	38.45	38.25	38.45	38.0	1202
2014-09-22	38.05	38.45	38.45	37.65	1562
2014-09-23	37.8	38.0	38.05	37.7	1090
