Date	Close	Open	High	Low	Volume	ROI
2014-01-02	14.4	14.04	14.49	14.04	2612	2.5806
2014-01-03	14.22	14.13	14.35	14.13	1138	-1.2579
2014-01-06	14.04	14.22	14.35	13.99	1372	-1.2739
2014-01-07	14.31	14.04	14.4	14.04	2741	1.9355
2014-01-08	14.4	14.4	14.67	14.31	3891	0.6329
2014-01-09	14.17	14.4	14.44	14.13	1696	-1.5723
2014-01-10	14.22	14.22	14.26	14.13	913	0.3195
2014-01-13	14.62	14.26	14.71	14.26	9067	2.8662
2014-01-14	14.85	14.62	15.03	14.53	9156	1.548
2014-01-15	15.85	15.85	15.85	15.85	8360	6.7073
2014-01-16	15.94	16.75	16.75	15.94	25152	0.5714
2014-01-17	15.62	15.94	15.98	15.57	7547	-1.9886
2014-01-20	15.8	15.71	16.21	15.62	9256	1.1594
2014-01-21	15.85	16.07	16.16	15.8	4891	0.2865
2014-01-22	15.62	15.85	15.94	15.53	4098	-1.4286
2014-01-23	15.76	15.67	15.98	15.62	3148	0.8696
2014-01-24	15.85	15.76	15.94	15.67	3346	0.5747
2014-01-27	15.57	15.67	15.76	15.48	3634	-1.7143
2014-02-05	16.21	15.21	16.21	15.21	4297	4.0698
2014-02-06	16.21	16.12	16.53	15.98	8725	0.0
2014-02-07	16.34	16.21	16.71	16.21	8556	0.838
2014-02-10	15.98	16.53	16.57	15.98	4631	-2.2161
2014-02-11	15.89	15.98	16.12	15.85	2420	-0.5666
2014-02-12	16.21	16.03	16.62	15.89	7576	1.9943
2014-02-13	17.34	16.62	17.34	16.48	23918	6.9832
2014-02-14	18.52	18.47	18.52	18.47	10761	6.7885
2014-02-17	17.88	18.88	18.88	17.75	38422	-3.423
2014-02-18	19.11	18.34	19.11	18.25	35185	6.8354
2014-02-19	19.02	19.2	19.47	18.83	29438	-0.4739
2014-02-20	19.29	19.02	19.65	18.74	19026	1.4286
2014-02-21	19.06	19.47	19.56	19.02	9571	-1.1737
2014-02-24	18.88	19.15	19.2	18.65	8697	-0.9501
2014-02-25	19.2	19.02	19.56	18.7	20697	1.6787
2014-02-26	18.93	19.11	19.42	18.88	8738	-1.4151
2014-02-27	19.06	19.15	19.47	19.02	8622	0.7177
2014-03-03	18.79	19.02	19.06	18.74	4737	-1.4252
2014-03-04	19.47	18.97	19.74	18.79	13451	3.6145
2014-03-05	19.2	19.7	19.92	19.2	14859	-1.3953
2014-03-06	20.46	19.88	20.51	19.83	40892	6.6038
2014-03-07	19.6	20.51	20.56	19.38	20220	-4.2035
2014-03-10	19.6	19.6	19.83	19.47	5322	0.0
2014-03-11	19.7	19.7	19.83	19.47	4333	0.4619
2014-03-12	19.38	19.56	19.56	19.29	4877	-1.6092
2014-03-13	19.47	19.47	20.1	19.47	6057	0.4673
2014-03-14	19.2	19.11	19.56	19.06	4660	-1.3953
2014-03-17	18.83	18.97	19.02	18.52	7720	-1.8868
2014-03-18	18.74	18.93	19.11	18.65	7176	-0.4808
2014-03-19	18.07	18.52	18.74	18.02	8986	-3.6232
2014-03-20	18.34	17.93	18.38	17.7	5227	1.5038
2014-03-21	18.02	17.75	18.25	17.75	5541	-1.7284
2014-03-24	18.56	17.97	18.74	17.88	8368	3.0151
2014-03-25	19.02	18.47	19.2	18.38	12120	2.439
2014-03-26	18.65	19.02	19.06	18.61	4785	-1.9048
2014-03-27	18.65	18.65	19.02	18.61	4239	0.0
2014-03-28	18.29	18.65	18.83	18.29	4265	-1.9417
2014-03-31	18.65	18.56	18.97	18.38	4660	1.9802
2014-04-01	19.38	18.93	19.6	18.7	9631	3.8835
2014-04-02	19.6	19.47	19.83	19.2	10365	1.1682
2014-04-03	19.29	19.7	19.79	19.29	4516	-1.6166
2014-04-07	19.42	19.02	19.51	18.83	3236	0.7042
2014-04-08	19.2	19.2	19.74	19.15	4255	-1.1655
2014-04-09	19.79	19.2	19.97	19.15	8917	3.0660000000000003
2014-04-10	19.15	19.88	19.88	19.11	6041	-3.2037
2014-04-11	18.16	18.25	18.56	17.93	8561	-5.2009
2014-04-14	17.2	18.11	18.11	17.16	5886	-5.2369
2014-04-15	17.02	17.2	17.34	16.84	5184	-1.0526
2014-04-16	17.25	17.02	17.25	16.84	2720	1.3298
2014-04-17	17.34	17.25	17.57	17.25	2768	0.5249
2014-04-18	17.25	17.39	17.79	17.25	3328	-0.5222
2014-04-21	17.16	17.25	17.43	17.11	1704	-0.5249
2014-04-22	16.98	17.07	17.25	16.84	3736	-1.0554
2014-04-23	16.89	17.02	17.39	16.89	2827	-0.5333
2014-04-24	16.44	16.89	17.07	16.39	3224	-2.681
2014-04-25	15.57	16.44	16.53	15.39	4794	-5.2342
2014-04-28	16.03	15.03	16.07	14.85	5382	2.907
2014-04-29	15.85	16.03	16.16	15.8	2380	-1.1299
2014-04-30	16.93	16.12	16.93	15.8	6093	6.8571
2014-05-02	17.3	17.25	17.43	17.02	11440	2.1390000000000002
2014-05-05	16.75	17.3	17.3	16.62	3959	-3.1414
2014-05-06	16.62	16.62	17.07	16.39	6504	-0.8108
2014-05-07	16.44	16.39	16.53	16.39	1931	-1.0899
2014-05-08	16.44	16.48	16.66	16.39	1514	0.0
2014-05-09	16.25	16.48	16.62	16.21	2369	-1.1019
2014-05-12	15.98	15.76	16.62	15.76	4056	-1.6713
2014-05-13	15.39	16.07	16.16	15.26	3163	-3.6827
2014-05-14	15.35	15.44	15.62	15.08	4403	-0.2941
2014-05-15	15.3	15.3	15.48	15.21	1558	-0.295
2014-05-16	15.57	15.21	15.67	15.21	1238	1.7751
2014-05-19	16.07	15.8	16.3	15.76	3418	3.1977
2014-05-20	15.85	16.07	16.21	15.85	879	-1.4085
2014-05-21	15.8	15.85	16.03	15.71	934	-0.2857
2014-05-22	16.21	16.03	16.48	15.94	3952	2.5788
2014-05-23	16.3	16.21	16.48	16.16	1408	0.5587
2014-05-26	16.34	16.39	16.53	16.21	5261	0.2778
2014-05-27	16.03	16.39	16.48	16.03	1714	-1.9391
2014-05-28	16.12	16.12	16.25	16.03	1040	0.565
2014-05-29	17.2	16.21	17.2	16.16	10765	6.7416
2014-05-30	18.02	17.34	18.02	17.34	23360	4.7368
2014-06-03	18.29	18.16	18.61	17.7	16439	1.5075
2014-06-04	17.75	18.2	18.43	17.75	6268	-2.9703
2014-06-05	17.66	17.84	17.93	17.52	3608	-0.5102
2014-06-06	17.3	17.88	17.88	17.25	3615	-2.0513
2014-06-09	17.66	17.48	17.93	17.34	4736	2.0942
2014-06-10	18.16	17.79	18.52	17.57	17806	2.8205
2014-06-11	17.48	17.07	17.61	17.07	8613	-3.7406
2014-06-12	17.3	17.3	17.43	17.02	4293	-1.0363
2014-06-13	17.34	17.3	17.61	17.16	3410	0.2618
2014-06-16	17.16	17.25	17.43	17.16	1809	-1.0444
2014-06-17	17.16	17.2	17.3	17.11	1599	0.0
2014-06-18	17.16	17.2	17.61	17.16	3704	0.0
2014-06-19	17.52	17.2	17.52	17.2	2918	2.1108
2014-06-20	17.75	17.66	18.11	17.52	12515	1.2919999999999998
2014-06-23	18.11	17.66	18.11	17.39	9867	2.0408
2014-06-24	19.06	18.43	19.11	18.2	37318	5.25
2014-06-25	18.61	19.06	19.06	18.61	10791	-2.3753
2014-06-26	18.52	18.74	18.97	18.52	6616	-0.4866
2014-06-27	18.52	18.65	19.06	18.47	7077	0.0
2014-06-30	18.29	18.61	18.74	18.2	5000	-1.2225
2014-07-01	18.2	18.38	18.74	18.2	5426	-0.495
2014-07-02	17.79	18.29	18.47	17.48	5943	-2.2388
2014-07-03	18.43	17.79	18.43	17.66	6047	3.5623
2014-07-04	18.38	18.52	18.93	18.34	12787	-0.2457
2014-07-07	17.88	18.38	18.52	17.75	4064	-2.7094
2014-07-08	17.93	17.88	18.34	17.7	5515	0.2532
2014-07-09	17.66	17.93	17.93	17.66	2561	-1.5152
2014-07-10	17.66	17.66	17.88	17.66	2129	0.0
2014-07-11	17.3	17.48	18.02	17.25	7105	-2.0513
2014-07-14	17.3	17.3	17.48	17.3	2028	0.0
2014-07-15	17.3	17.3	17.48	17.3	1758	0.0
2014-07-16	17.11	17.25	17.39	17.07	2080	-1.0471
2014-07-17	16.93	17.11	17.3	16.89	2428	-1.0582
2014-07-18	17.07	16.66	17.07	16.62	2518	0.8021
2014-07-21	16.95	16.72	17.09	16.72	2914	-0.6669
2014-07-22	17.0	17.0	17.05	16.91	1105	0.2732
2014-07-24	17.32	17.0	17.46	17.0	2876	1.9074
2014-07-25	17.05	17.32	17.42	17.0	1356	-1.6043
2014-07-28	16.81	17.05	17.05	16.72	1445	-1.3587
2014-07-29	16.44	16.86	17.0	16.21	1843	-2.2039
2014-07-30	16.63	16.44	16.86	16.44	2449	1.1268
2014-07-31	16.58	16.63	16.81	16.58	937	-0.2786
2014-08-01	16.3	16.21	16.49	16.17	1916	-1.676
2014-08-04	16.54	16.35	16.58	16.3	875	1.4205
2014-08-05	16.21	16.49	16.54	16.17	1150	-1.9608
2014-08-06	16.35	16.21	16.54	15.93	3202	0.8571
2014-08-07	16.58	16.26	16.63	16.17	2062	1.4164
2014-08-08	16.95	16.67	17.09	16.58	6864	2.2346
2014-08-11	16.81	16.91	16.95	16.72	1245	-0.8197
2014-08-12	16.77	16.81	17.18	16.67	3579	-0.2755
2014-08-13	16.67	16.77	16.91	16.67	1275	-0.5525
2014-08-14	16.21	16.77	16.86	16.17	2471	-2.7778
2014-08-15	16.26	16.21	16.44	16.07	1250	0.2857
2014-08-18	15.7	16.21	16.35	15.52	2002	-3.4188
2014-08-19	15.89	15.89	16.07	15.79	1115	1.1799
2014-08-20	15.84	15.89	16.03	15.52	1408	-0.2915
2014-08-21	15.56	15.93	15.93	15.52	1055	-1.7544
2014-08-22	15.84	15.61	15.93	15.61	1113	1.7857
2014-08-25	15.84	15.84	16.03	15.75	633	0.0
2014-08-26	15.98	15.89	16.21	15.84	1069	0.8772
2014-08-27	15.98	16.12	16.12	15.93	1005	0.0
2014-08-28	16.3	16.07	16.54	16.07	2891	2.029
2014-08-29	16.17	16.17	16.3	16.07	607	-0.8523
2014-09-01	16.03	16.17	16.26	16.03	1089	-0.8596
2014-09-02	16.07	16.07	16.17	15.84	1248	0.289
2014-09-03	16.12	16.21	16.21	15.98	869	0.2882
2014-09-04	16.12	16.12	16.4	15.93	3897	0.0
2014-09-05	16.17	16.12	16.3	16.12	637	0.2874
2014-09-09	16.12	16.21	16.35	16.12	616	-0.2865
2014-09-10	16.12	16.07	16.26	16.03	406	0.0
2014-09-11	16.58	16.12	16.58	15.89	3390	2.8736
2014-09-12	16.44	16.63	16.86	16.44	10271	-0.838
2014-09-15	16.21	16.35	16.4	16.17	1379	-1.4085
2014-09-16	16.07	16.17	16.3	16.03	1045	-0.8571
2014-09-17	16.03	16.07	16.35	15.98	1152	-0.2882
2014-09-18	15.98	16.07	16.17	15.98	1123	-0.289
2014-09-19	16.03	16.03	16.17	15.98	957	0.2899
2014-09-22	15.79	16.03	16.12	15.75	1360	-1.4451
2014-09-23	15.61	15.79	15.79	15.61	1047	-1.173
2014-09-24	15.66	15.61	15.75	15.61	800	0.2967
2014-09-25	15.29	15.66	15.84	15.29	1228	-2.3669
2014-09-26	14.96	15.19	15.38	14.91	1192	-2.1212
2014-09-29	15.05	15.01	15.19	15.01	460	0.6192
2014-09-30	14.91	15.05	15.19	14.78	1032	-0.9231
2014-10-01	14.91	14.82	15.1	14.82	498	0.0
2014-10-02	14.91	14.91	14.96	14.73	858	0.0
2014-10-03	15.05	14.91	15.15	14.82	595	0.9317
2014-10-06	15.1	15.05	15.24	15.05	667	0.3077
2014-10-07	14.91	15.1	15.1	14.91	559	-1.227
2014-10-08	14.68	14.73	14.96	14.64	1075	-1.5528
2014-10-09	14.59	14.73	14.82	14.45	1669	-0.6309
2014-10-13	13.76	14.54	14.54	13.71	1762	-5.7143
2014-10-14	13.71	13.76	13.76	13.57	1799	-0.3367
2014-10-15	12.97	13.71	13.71	12.97	3095	-5.4054
2014-10-16	12.46	12.51	12.6	12.09	4069	-3.9286
2014-10-17	11.86	12.74	12.74	11.86	2670	-4.8327
2014-10-20	12.37	12.04	12.6	12.04	3317	4.2969
2014-10-21	12.41	12.37	12.74	12.32	2705	0.3745
2014-10-22	12.46	12.64	12.74	12.41	2774	0.3731
